cdl_pattern,pattern_count
CDLLONGLINE,11994
CDLBELTHOLD,11827
CDLSPINNINGTOP,10482
CDLCLOSINGMARUBOZU,8985
CDLDOJI,8462
CDLSHORTLINE,7982
CDLLONGLEGGEDDOJI,7497
CDLHIKKAKE,7183
CDLHIGHWAVE,6188
CDLENGULFING,5183
CDLRICKSHAWMAN,4872
CDLMARUBOZU,4246
CDLHARAMI,3959
CDL3OUTSIDE,2671
CDLHAMMER,1673
CDLHARAMICROSS,1267
CDLTAKURI,1121
CDLDRAGONFLYDOJI,1087
CDLDOJISTAR,1034
CDLGRAVESTONEDOJI,1015
CDLHANGINGMAN,925
CDLMATCHINGLOW,914
CDL3INSIDE,857
CDLADVANCEBLOCK,683
CDLINVERTEDHAMMER,662
CDLXSIDEGAP3METHODS,619
CDLSHOOTINGSTAR,593
CDLSEPARATINGLINES,426
CDLHOMINGPIGEON,312
CDLMORNINGSTAR,275
CDLEVENINGSTAR,235
CDLTHRUSTING,189
CDLSTALLEDPATTERN,183
CDLGAPSIDESIDEWHITE,176
CDLTASUKIGAP,145
CDL3LINESTRIKE,117
CDLMORNINGDOJISTAR,95
CDLEVENINGDOJISTAR,93
CDLPIERCING,89
CDLTRISTAR,82
CDLDARKCLOUDCOVER,78
CDLHIKKAKEMOD,75
CDL3WHITESOLDIERS,61
CDLSTICKSANDWICH,59
CDLONNECK,53
CDLUNIQUE3RIVER,47
CDLINNECK,44
CDLIDENTICAL3CROWS,37
CDLLADDERBOTTOM,32
CDLRISEFALL3METHODS,24
CDL2CROWS,20
CDLCOUNTERATTACK,13
CDL3BLACKCROWS,6
CDLUPSIDEGAP2CROWS,6
CDLKICKINGBYLENGTH,5
CDLKICKING,5
CDLBREAKAWAY,3
CDLABANDONEDBABY,1
